Author,Rating,Title,Date,Body
"Chaudhari  Yogesh, Surat District",3.0 out of 5 stars,3.0•Does the job,"Reviewed in India on · Apr, 2024",Nice products
"manish kumar, Bhagalpur District",3.0 out of 5 stars,3.0•Just okay,"Reviewed in India on · Feb, 2024",Good
"Deepak Kumar, New Delhi",5.0 out of 5 stars,5.0•Classy product,"Reviewed in India on · Feb, 2024",Very good 👍
"Utkarsh Sachan, Ghatampur",5.0 out of 5 stars,5.0•Best in the market!,"Reviewed in India on · Jan, 2024",Superb
"Udhaya  Kumar, Tiruvallur",4.0 out of 5 stars,4.0•Good choice,Reviewed in India on · 11 months ago,Value for
"Sahab  Singh, Khutar",4.0 out of 5 stars,4.0•Value-for-money,"Reviewed in India on · Dec, 2023",Good product
"RANGANATH S RANGANATH S, Dakshina Kannada District",1.0 out of 5 stars,1.0•Don't waste your money,"Reviewed in India on · Oct, 2024",It's not a Eveready company fake local product Its. 7 days work and then faulty its my product.and opan the torch only one china battery .not purchase this product.its fake 5 star
"Gopal Singh, Jodhpur",5.0 out of 5 stars,5.0•Classy product,"Reviewed in India on · Mar, 2024",Nice product I like it  Value for money Flash is high  Very bright
"gopal sahu, Ganjam District",5.0 out of 5 stars,5.0•Best in the market!,"Reviewed in India on · Jan, 2024",Best quality products
"Udayveer Singh, Agra",5.0 out of 5 stars,5.0•Fabulous!,"Reviewed in India on · Jan, 2024",Good product
"Sar M, Kolkata",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 1 day ago,Excellent product excellent performance
"Azam Chandail, Udhampur",4.0 out of 5 stars,4.0•Wonderful,Reviewed in India on · 2 days ago,good torch
"Flipkart Customer, Thrissur District",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 2 days ago,Very good
"RINKU SAHU, Bolangir",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 2 days ago,Nice product
"Turishnikha Moran, Tinsukia",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 3 days ago,Good
"DEVESH  TIWARI, Sagar",5.0 out of 5 stars,5.0•Highly recommended,Reviewed in India on · 3 days ago,Long cover area best torch
"Bidyut Baran Debnath, Kanchanpur",5.0 out of 5 stars,5.0•Excellent,Reviewed in India on · 3 days ago,Good product
"AKHTARUL  ISLAM, Darrang District",1.0 out of 5 stars,1.0•Terrible product,Reviewed in India on · 3 days ago,Charging issue
"Manish Juyal, New Delhi",1.0 out of 5 stars,1.0•Don't waste your money,Reviewed in India on · 3 days ago,Not working
"Flipkart Customer, Kasaragod",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 4 days ago,Thanks so much shopsy thanks alot
"Flipkart Customer, Phalodi",5.0 out of 5 stars,5.0•Perfect product!,Reviewed in India on · 5 days ago,"The only thing which is really annoying - it have only one button, once pressed it starts the main troch but you can't simply turn it off after use. You need to press multiple times and change from ev..."
"Rakesh Chaurasia, Ambedkar Nagar",5.0 out of 5 stars,5.0•Best in the market!,Reviewed in India on · 5 days ago,Nice
"NANDHU SAMINA, Krishna District",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on · 6 days ago,Nice
"Sahanur  Hossain, Koch Bihar District",4.0 out of 5 stars,4.0•Delightful,Reviewed in India on · 6 days ago,"This torch light is very good and affordable, battery life is best at that price, minimum 3-4hour at top gear😃, weight of the light is very low that's amazing 🤩"
"Arun Chauhan, Mandi Dabwali",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 7 days ago,Good product
"Flipkart Customer, Sivasagar District",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 7 days ago,Very good product
"Madhu Papu, Bengaluru",2.0 out of 5 stars,2.0•Not good,Reviewed in India on · 7 days ago,Normal
"Yesu Dharavath, Khammam District",3.0 out of 5 stars,3.0•Decent product,Reviewed in India on Decent product,Superb product
"Flipkart Customer, Murshidabad",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 7 days ago,Nice work
"Prashant  Satpute, Gadchiroli District",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on · 7 days ago,Light weight... Brightness level also good 😊 Happy' to purchase
"Anil Kachhap, Ranchi",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 7 days ago,Good 😊
"Flipkart Customer, Nalagarh",3.0 out of 5 stars,3.0•Nice,Reviewed in India on · 8 days ago,Okay value for money
"Sekhar Oraon, Jalpaiguri District",5.0 out of 5 stars,5.0•Best in the market!,Reviewed in India on · 8 days ago,ultra brightness
"EVAN  KUMAR, Rajnandgaon District",4.0 out of 5 stars,4.0•Very Good,Reviewed in India on · 8 days ago,Best product
"Atit Songara, Indore",4.0 out of 5 stars,4.0•Very Good,Reviewed in India on · 8 days ago,Good and Helpful Product
"Flipkart Customer, Kumta",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 9 days ago,"Best quality, it's  valuable.."
"Flipkart Customer, Bhandara District",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 9 days ago,Super product
"Dabhi Pintu, Ahmadabad District",2.0 out of 5 stars,2.0•Expected a better product,Reviewed in India on · 9 days ago,I'm use this bettry only 2week led brightness is almost lost
"DEVAKUMAR VP, Kalady",1.0 out of 5 stars,1.0•Useless product,Reviewed in India on · 9 days ago,Charging light not working
"Flipkart Customer, Dahod",5.0 out of 5 stars,5.0•Best in the market!,Reviewed in India on · 10 days ago,Nice
"Geetanjali  Moran, Makum",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 10 days ago,Good
"Bhagirath Garwa, Nagaur District",5.0 out of 5 stars,5.0•Perfect product!,Reviewed in India on · 10 days ago,Product best
"KARTIK BARMAN, Purba Medinipur District",4.0 out of 5 stars,4.0•Good choice,Reviewed in India on · 10 days ago,Nice product
"Asish Shaik, Bapatla East Rural",4.0 out of 5 stars,4.0•Worth the money,Reviewed in India on · 10 days ago,Worth at this price
"Ishwar chandra  Sahani, Kushinagar District",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 11 days ago,Very very good torch
"SUMAN SARKAR, Agartala",3.0 out of 5 stars,3.0•Nice,Reviewed in India on · 11 days ago,Good
"Advocate Verma, Kanpur",4.0 out of 5 stars,4.0•Good choice,Reviewed in India on · 11 days ago,Best
"Mangesh Surve, Pune",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 12 days ago,Extent product
"Anandrao Gadekar, Pune District",1.0 out of 5 stars,1.0•Unsatisfactory,Reviewed in India on · 12 days ago,Bad.
"Dibakar Mahapatra, Nayagarh",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 13 days ago,Helpful
"Rishi Kumar, Hansi",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 13 days ago,Good Product By Moonlight
"Flipkart Customer, Alipurduar District",3.0 out of 5 stars,3.0•Good,Reviewed in India on · 13 days ago,Nice
"Dhanraj Kumar Mahto, Medchal Malkajgiri",1.0 out of 5 stars,1.0•Hated it!,Reviewed in India on · 13 days ago,Product is not working
"Atanu Chanda, Kolkata",4.0 out of 5 stars,4.0•Value-for-money,Reviewed in India on · 13 days ago,Value for money
"Shivu K S, Mysore",5.0 out of 5 stars,5.0•Highly recommended,Reviewed in India on · 13 days ago,Good
"Amal Haloi, Barpeta District",5.0 out of 5 stars,5.0•Mind-blowing purchase,Reviewed in India on · 13 days ago,Overall Good
"Flipkart Customer, Kanpur",4.0 out of 5 stars,4.0•Delightful,Reviewed in India on · 13 days ago,Very good
"mane mahesh, Khowai",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 14 days ago,Super quality
"roopi sriram, Krishna District",4.0 out of 5 stars,4.0•Value-for-money,Reviewed in India on · 14 days ago,Very good product
"Krishna  Sarma, Goalpara",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 14 days ago,Overall the product is good and the brightness is good as well I Will let you know about how long does the torch work after 6 months
"Subham Kumar, Dibrugarh",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 15 days ago,Very nice
"Sandip surya, Madhubani",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 15 days ago,Light perfect
"sahib irshad, Bandipore District",5.0 out of 5 stars,5.0•Just wow!,Reviewed in India on · 15 days ago,Good item
"Avinash Singh, Rohtas District",1.0 out of 5 stars,1.0•Useless product,Reviewed in India on · 16 days ago,All Ok But Battery Life Very Bad 👎
"Kesho kumar  Mandal, Katihar",5.0 out of 5 stars,5.0•Worth every penny,Reviewed in India on · 16 days ago,Value of money
"Mani Pradhani, Ramanagara",5.0 out of 5 stars,5.0•Great product,Reviewed in India on · 16 days ago,Super
"Flipkart Customer, Udupi",1.0 out of 5 stars,1.0•Waste of money!,Reviewed in India on · 16 days ago,One of the rubbish product i have received on Flipkart. Flipkart mentioned 6 months warranty on the product but they did not provide any of the warranty card or else. Although the torch did not work f...
"Harshith Rathna, T Narsipura",4.0 out of 5 stars,4.0•Good quality product,Reviewed in India on · 17 days ago,Nice
"NAZMI SYED, Lucknow",5.0 out of 5 stars,5.0•Highly recommended,Reviewed in India on · 17 days ago,Power full torch I like it 👌
"Flipkart Customer, Malappuram",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 17 days ago,good product ❤️❤️
"balu kavi, Sathyamangalam",5.0 out of 5 stars,5.0•Excellent,Reviewed in India on · 17 days ago,Very good protect
"Bikash Ranjan Swain, Ganjam District",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 18 days ago,Very Good
"Boss s, Sultanpur",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on · 19 days ago,Super 👍
"Flipkart Customer, West Godavari District",4.0 out of 5 stars,4.0•Wonderful,Reviewed in India on · 19 days ago,Good product
"Rahish Ahmed, Almora",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 19 days ago,Very good product
"Sakthivel S, Erode District",5.0 out of 5 stars,5.0•Wonderful,Reviewed in India on · 19 days ago,Nice product...
"Flipkart Customer, Nashik",5.0 out of 5 stars,5.0•Great product,Reviewed in India on · 19 days ago,Good product
"Vinit Kumar, Deoria",4.0 out of 5 stars,4.0•Really Nice,Reviewed in India on · 19 days ago,Good product
"Flipkart Customer, Darbhanga District",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 20 days ago,Super
"Mahima nanda  Bhoi, Dhenkanal",4.0 out of 5 stars,4.0•Worth the money,Reviewed in India on · 20 days ago,Overall good but it's lightweight
"Md Gulam Ali, Palia Kalan",4.0 out of 5 stars,4.0•Worth the money,Reviewed in India on · 20 days ago,Increase your battery
"Shree Bhagawan Mahto, Pashchim Champaran District",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 20 days ago,Good product
"Hemant  Meena, Guna District",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 20 days ago,Very Nice product
"CHAITANYA MURMU, Mayurbhanj",5.0 out of 5 stars,5.0•Highly recommended,"Reviewed in India on , Mayurbhanj",Nice product
"Sarvendra Mishra, Sonbhadra",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 20 days ago,Superb deal
"Flipkart Customer, Pune",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 20 days ago,Super product
"Utpol  Koch, Goalpara",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 20 days ago,worth of money
"Barath, Erode",1.0 out of 5 stars,1.0•Worst experience ever!,Reviewed in India on · 21 days ago,Charging indicator is not working
"Flipkart Customer, Jajpur",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 21 days ago,Velu for money
Terrific,5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 21 days ago,Range of visuality is exceptional....truly liked the torch
"Basudev Sarma, Udalguri District",4.0 out of 5 stars,4.0•Value-for-money,Reviewed in India on · 21 days ago,The shape Of this product is so cute.
"Flipkart Customer, Mumbai",4.0 out of 5 stars,4.0•Value-for-money,Reviewed in India on · 21 days ago,Brightness is so good  Very long distance visibility
"Vishnuraj M, Pathanamthitta",5.0 out of 5 stars,5.0•Super!,Reviewed in India on · 22 days ago,Awesome torch
"Bramhadev Mahajan, Ahmadnagar",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 22 days ago,Good
"Aakash Kumar, Bulandshahr District",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 23 days ago,Best quality is product and super battery
"Balaji Joseph, Chennai",4.0 out of 5 stars,4.0•Good quality product,Reviewed in India on · 23 days ago,Value for money
"JIJO JOSE, Palakkad District",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 23 days ago,Very good product
"Mohammad Sadiq  Saka, Srinagar",5.0 out of 5 stars,5.0•Great product,Reviewed in India on · 24 days ago,Must buy product
"Mohit Tyagi, Saharanpur District",2.0 out of 5 stars,2.0•Moderate,Reviewed in India on · 25 days ago,Not Recomended
"PRIYANKA  MANDAL, Malda",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 25 days ago,Value for money
"Gaurav  Vishwakarma, Jaunpur",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 25 days ago,Good product quality 👍🏻
"Soumya Mazumder, Jangipur",4.0 out of 5 stars,4.0•Nice product,"Reviewed in India on , Jangipur",Good
"Raman Kumar, Purnia",1.0 out of 5 stars,1.0•Very poor,Reviewed in India on · 26 days ago,Very bad
"Mobidul Hussain, Sivasagar District",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on · 27 days ago,Perfect product
"Surja Jamatia, Gomati",5.0 out of 5 stars,5.0•Must buy!,Reviewed in India on · 27 days ago,Good
"Deepak  Dubey, New Delhi",5.0 out of 5 stars,5.0•Terrific,Reviewed in India on · 27 days ago,Very good Product
"Dilsad82 Safi, Araria District",5.0 out of 5 stars,5.0•Highly recommended,Reviewed in India on · 28 days ago,Good quality
"Priyanath  Dey, Nadia",5.0 out of 5 stars,5.0•Fabulous!,Reviewed in India on · 28 days ago,Nice product  But if the brightness is a little bit higher than the product is awesome.
"Durga prasad Gochhayat, Jagatsinghpur",4.0 out of 5 stars,4.0•Good choice,Reviewed in India on · 29 days ago,Value for money
"E N  Balaram Bhoi, Jagatsinghapur District",5.0 out of 5 stars,5.0•Mind-blowing purchase,Reviewed in India on · 29 days ago,Wow supper
"Monoj  das, Lanka",5.0 out of 5 stars,5.0•Simply awesome,Reviewed in India on · 29 days ago,Very good product in fast look
"Subhadip Jash, Purba Bardhaman",4.0 out of 5 stars,4.0•Worth the money,Reviewed in India on · 29 days ago,Good product.
"Flipkart Customer, Jamshedpur",5.0 out of 5 stars,5.0•Awesome,Reviewed in India on · 30 days ago,"best , all in one ☝️"
"Vinish singh  Rana, Champawat",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 30 days ago,Nice
"Ishfaq ahmad Shah, Anantnag District",5.0 out of 5 stars,5.0•Classy product,Reviewed in India on · 30 days ago,Value of your money
"PUSHPRAJ KUMAR, West Champaran",5.0 out of 5 stars,5.0•Excellent,Reviewed in India on · 1 month ago,Best wishes
"Abhishek Ahir, Maharajganj",5.0 out of 5 stars,5.0•Brilliant,Reviewed in India on · 1 month ago,Very good 👍
"Sanjeev Kumar, Bijnor District",1.0 out of 5 stars,1.0•Worthless,Reviewed in India on · 1 month ago,Battery charging problem not Good
"Monty  Rana, Yamunanagar",4.0 out of 5 stars,4.0•Nice product,Reviewed in India on · 1 month ago,Wonderful  must buy this light just like wow
"Mansingh  Mithun, Tenkasi District",5.0 out of 5 stars,5.0•Great product,Reviewed in India on · 1 month ago,Worth it
"Flipkart Customer, South West Garo Hills District",3.0 out of 5 stars,3.0•Fair,Reviewed in India on · 1 month ago,Good at price range average performance
"Pramod kumar Nishad, Deoria District",5.0 out of 5 stars,5.0•Terrific purchase,Reviewed in India on · 1 month ago,Really good touch
